value,segments,language,borrowing_score,age_label
orang tua,"['o', 'r', 'a', 'ŋ', '+', 't', 'u', 'a']",Indonesian,0.0,Prehistorical
"putra, putera","['p', 'u', 't', 'r', 'a']",Indonesian,1.0,Early Malay
"putri, puteri","['p', 'u', 't', 'r', 'i']",Indonesian,1.0,Early Malay
(ikan) lumba-lumba,"['i', 'k', 'a', 'n', '+', 'l', 'u', 'm', 'b', 'a', '+', 'l', 'u', 'm', 'b', 'a']",Indonesian,0.0,Prehistorical
anak,"['a', 'n', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
abang,"['a', 'b', 'a', 'ŋ']",Indonesian,0.5,Early Malay
saudara (kandung),"['s', 'a', 'u', 'd', 'a', 'r', 'a', '+', 'k', 'a', 'n', 'd', 'u', 'ŋ']",Indonesian,0.0,Modern
kembar,"['k', 'e', 'm', 'b', 'a', 'r']",Indonesian,0.25,Prehistorical
kakék,"['k', 'a', 'k', 'é/e', 'ʔ']",Indonesian,0.5,Modern
opa,"['o', 'p', 'a']",Indonesian,1.0,Modern
nénék,"['n', 'é/e', 'n', 'é/e', 'ʔ']",Indonesian,0.5,Modern
oma,"['o', 'm', 'a']",Indonesian,1.0,Modern
paman,"['p', 'a', 'm', 'a', 'n']",Indonesian,1.0,Modern
"om, oom","['o', 'm']",Indonesian,1.0,Modern
bibi,"['b', 'i', 'b', 'i']",Indonesian,0.75,Modern
tante,"['t', 'a', 'n', 't', 'e']",Indonesian,1.0,Modern
sepupu,"['s', 'e', 'p', 'u', 'p', 'u']",Indonesian,0.0,Prehistorical
nénék-moyang,"['n', 'é/e', 'n', 'é/e', 'k', '+', 'm', 'o', 'j', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
leluhur,"['l', 'e', 'l', 'u', 'h', 'u', 'r']",Indonesian,1.0,Modern
keturunan,"['k', 'e', 't', 'u', 'r', 'u', 'n', 'a', 'n']",Indonesian,0.0,Prehistorical
anak-cucu,"['a', 'n', 'a', 'k', '+', 'tʃ', 'u', 'tʃ', 'u']",Indonesian,0.0,Prehistorical
bapak tiri,"['b', 'a', 'p', 'a', 'k', '+', 't', 'i', 'r', 'i']",Indonesian,0.0,Early Malay
ayah tiri,"['a', 'j', 'a', 'h', '+', 't', 'i', 'r', 'i']",Indonesian,0.0,Early Malay
ibu tiri,"['i', 'b', 'u', '+', 't', 'i', 'r', 'i']",Indonesian,0.0,Early Malay
mak/emak tiri,"['m', 'a', 'k', '+', 't', 'i', 'r', 'i']",Indonesian,0.0,Prehistorical
yatim-piatu,"['j', 'a', 't', 'i', 'm', '+', 'p', 'i', 'a', 't', 'u']",Indonesian,0.0,Early Malay
janda,"['dʒ', 'a', 'n', 'd', 'a']",Indonesian,0.75,Early Malay
duda,"['d', 'u', 'd', 'a']",Indonesian,1.0,Modern
famili,"['f', 'a', 'm', 'i', 'l', 'i']",Indonesian,1.0,Modern
saudara,"['s', 'a', 'u', 'd', 'a', 'r', 'a']",Indonesian,1.0,Early Malay
sanak,"['s', 'a', 'n', 'a', 'ʔ']",Indonesian,0.0,Early Malay
kerabat,"['k', 'e', 'r', 'a', 'b', 'a', 't']",Indonesian,1.0,Early Malay
keluarga,"['k', 'e', 'l', 'u', 'a', 'r', 'g', 'a']",Indonesian,0.75,Early Malay
aku,"['a', 'k', 'u']",Indonesian,0.0,Prehistorical
saya,"['s', 'a', 'j', 'a']",Indonesian,0.75,Early Malay
kamu,"['k', 'a', 'm', 'u']",Indonesian,0.0,Prehistorical
"kau, engkau","['k', 'aʊ']",Indonesian,0.0,Prehistorical
dia,"['d', 'i', 'a']",Indonesian,0.0,Prehistorical
ia,"['i', 'a']",Indonesian,0.0,Prehistorical
beliau,"['b', 'e', 'l', 'i', 'aʊ']",Indonesian,0.0,Prehistorical
